Country of domicile,Year,Number of Undergraduate Students,GDP per Capita,Tertiary Education Enrollment,Tertiary Expenditure,GINI,HDI,Population
Yemen,2014,0,,,,,0.502,
Anguilla,2014,0,,,,,,
Antigua and Barbuda,2014,0,18104.4073367164,,,,0.760,92562.0
Aruba,2014,0,35875.6298298588,16.4054203033447,20.02153,,,103776.0
"Bahamas, The",2014,0,,,,,,370625.0
Barbados,2014,0,15041.5547480584,,39.27677,,0.808,284825.0
Belize,2014,0,7323.14470076649,24.0041103363037,12.98805,,0.705,353366.0
Bermuda,2014,5,77361.1048812589,28.2364902496338,18.23369,,,65138.0
"Bonaire, Sint Eustatius and Saba",2014,0,,,,,,
British Virgin Islands,2014,0,,,,,,28985.0
Canada,2014,70,47564.609109622,65.612907409668,,33.2,0.918,35437435.0
Caribbean not otherwise specified,2014,0,,,,,,
Cayman Islands,2014,0,66326.8874800978,27.298999786377,,,,60848.0
Central America not otherwise specified,2014,0,,,,,,
Costa Rica,2014,0,18669.096679367,52.2311706542969,21.68091,48.6,0.796,4795390.0
Cuba,2014,0,,40.9609718322754,,,0.767,11306909.0
Curaçao,2014,0,,,,,,
Dominica,2014,0,12216.5318416184,,,,0.741,71091.0
Dominican Republic,2014,0,14499.6304101602,49.3192710876465,,44.3,0.730,10165182.0
El Salvador,2014,0,7990.45957385618,27.8673896789551,8.00372,41.6,0.668,6295124.0
Greenland,2014,0,,,,,,56295.0
Grenada,2014,0,14317.3257305619,,,,0.766,108900.0
Guatemala,2014,0,7939.37437823934,18.1808795928955,12.13767,48.3,0.648,15306316.0
Haiti,2014,0,2935.21992525795,,,,0.492,10549007.0
Honduras,2014,0,5177.41519718935,19.9211006164551,13.72908,49.9,0.616,8955579.0
Jamaica,2014,0,9438.47691238925,,17.4903,,0.729,2875137.0
Mexico,2014,5,18887.5674432127,31.0941390991211,21.32413,48.7,0.761,120355137.0
Montserrat,2014,0,,,,,,
Nicaragua,2014,0,5443.27808191084,,,46.2,0.649,6142734.0
North America not otherwise specified,2014,0,,,,,,
Panama,2014,0,27352.5193924166,44.5367889404297,,50.5,0.795,3901311.0
Puerto Rico,2014,0,34070.2535892048,93.1635208129883,36.77856,,,3534874.0
Sint Maarten (Dutch part),2014,0,42946.6845432836,5.75121021270752,,,,37685.0
St Barthélemy,2014,0,,,,,,
St Kitts and Nevis,2014,0,,,,,,
St Lucia,2014,0,,,,,,
St Martin (French Part),2014,0,,,,,,
St Pierre And Miquelon,2014,0,,,,,,
St Vincent and The Grenadines,2014,0,,,,,,
Total North America,2014,230,,,,,,
Trinidad and Tobago,2014,20,28796.559068824,,,,0.785,1362337.0
Turks and Caicos Islands,2014,0,24392.0205723675,11.6402101516724,,,,35371.0
United States,2014,125,57213.2678405623,88.6268692016602,27.50228,41.5,0.920,318386329.0
United States Virgin Islands,2014,0,,,,,,
Argentina,2014,0,23550.0990599374,80.9958114624023,20.40408,41.6,0.836,42669500.0
Bolivia,2014,0,7730.63840212872,,,47.8,,10706517.0
Brazil,2014,20,15749.5121636511,50.1764488220215,19.27436,52.1,0.756,202763744.0
Chile,2014,0,24173.0649373598,82.8463821411133,24.69634,,0.837,17758969.0
Colombia,2014,0,13852.2420491719,51.4163818359375,20.75521,52.6,0.753,46967706.0
Ecuador,2014,10,12078.4743866036,,40.37434,45.0,0.756,15951832.0
Falkland Islands,2014,0,,,,,,
Guyana,2014,0,11244.4452370602,,,,0.671,763371.0
Paraguay,2014,0,11643.7275051513,,,50.7,0.715,6599524.0
Peru,2014,5,11877.0789320691,,14.22039,43.1,0.760,30090372.0
South America not otherwise specified,2014,0,,,,,,
Suriname,2014,0,20210.9961829311,,,,0.735,553278.0
Total South America,2014,40,,,,,,
Uruguay,2014,0,22419.043746431,60.7204895019531,,40.1,0.803,3400439.0
Venezuela,2014,0,,,,,,
Total,2014,5705,,,,,,
