Country of domicile,ISO-3,Year,Number of Undergraduate Students,GDP per Capita,Tertiary Education Enrollment,Tertiary Expenditure,GINI,HDI,Distance,Population,Students normalised
Bulgaria,BGR,2019,95,23191.5745846967,73.3791732788086,,,0.816,2020,6975761.0,0.000289430787551351
Canada,CAN,2014,70,47564.609109622,65.612907409668,,33.2,0.918,5401,35437435.0,0.0000568325557422539
Canada,CAN,2015,60,47522.1406673151,64.7869567871094,,33.7,0.921,5401,35702908.0,0.0000564379797858483
Canada,CAN,2016,50,47457.5853457244,66.4391784667969,,32.7,0.923,5401,36109487.0,0.0000558302032925585
Canada,CAN,2017,70,48317.0965785817,68.9225082397461,,33.3,0.926,5401,36545295.0,0.0000551917832377602
Canada,CAN,2018,75,48796.8137814007,70.1130218505859,,,0.928,5401,37065178.0,0.0000544446326414512
Canada,CAN,2019,95,49006.7431073981,75.6988220214844,,,0.929,5401,37593384.0,0.0000537062585267663
China,CHN,2014,960,11917.3384959933,42.4307289123535,,39.2,0.731,8225,1364270000.0,0.00000147624737038856
China,CHN,2015,1125,12691.8215526921,46.0404281616211,,38.6,0.739,8225,1371220000.0,0.00000146949431892767
China,CHN,2016,1285,13487.8224816787,48.0190200805664,,38.5,0.746,8225,1378665000.0,0.00000146228416620426
China,CHN,2017,1665,14344.4212394424,49.0732612609863,,,0.75,8225,1386395000.0,0.00000145485233284886
China,CHN,2018,2090,15242.9858575834,50.6044387817383,,,0.755,8225,1392730000.0,0.00000144895277620214
China,CHN,2019,2685,16092.300767051,53.7649116516113,,,0.761,8225,1397715000.0,0.00000144450048829697
Colombia,COL,2016,5,14194.515663803,55.4842491149902,22.97659,50.6,0.760,8507,48175048.0,0.0000418473895448947
Colombia,COL,2017,5,14171.3205005648,56.4340286254883,22.49238,49.7,0.763,8507,48909844.0,0.0000412391419608699
Colombia,COL,2018,5,14314.8555765268,55.3274917602539,23.31461,50.4,0.764,8507,49661056.0,0.0000406354629269261
Colombia,COL,2019,5,14585.3024908488,54.9765205383301,,51.3,0.767,8507,50339443.0,0.0000401077143424094
Croatia,HRV,2014,5,23782.5024628678,67.5102310180664,,32.1,0.835,1346,4238389.0,0.000475180546193377
Croatia,HRV,2015,5,24562.453617545,66.4910202026367,,31.1,0.840,1346,4203604.0,0.000479350576314991
Croatia,HRV,2016,10,25599.8436234435,66.5323791503906,,30.9,0.841,1346,4174349.0,0.000482949556924924
Croatia,HRV,2017,10,26800.118975807,67.8655624389648,,30.4,0.845,1346,4124531.0,0.000489025297664147
Croatia,HRV,2018,10,27799.8433225132,67.6542282104492,,29.7,0.848,1346,4087843.0,0.000493658880734901
Croatia,HRV,2019,10,28753.5162699607,67.7217483520508,,,0.851,1346,4065253.0,0.000496648056098846
